movieCd,openDt,year,month,day,movieNm,movieNmEn,directorpeopleNM
20191242,20200423,2020,04,23,대전 블루스,"Last Blues, Last Dance",박철웅
20209496,20200605,2020,06,05,내 상사의 부인,,김레이
20209506,20200605,2020,06,05,방콕 어린형수,,신효성
20209002,20200608,2020,06,08,지구 침공: 컨테이젼,Invasion Planet Earth,
20209201,20200608,2020,06,08,웨이크필드 프로젝트,A Wakefield Project,
20200003,20200609,2020,06,09,내연녀,secret mistress ,이영인
20206049,20200609,2020,06,09,AV 여배우의 직장 체험기,,
20200381,20200609,2020,06,09,한입만,,최성은
20206048,20200609,2020,06,09,은밀한 서비스 ,,핫시이
20200336,20200609,2020,06,09,우리 형수님,,최성은
20209522,20200609,2020,06,09,여선생3 무삭제,,최성은
20206059,20200609,2020,06,09,시미켄의 촬영 강의,,
20208023,20200609,2020,06,09,내 친구의 딸 무삭제,,유서준
20206058,20200609,2020,06,09,과외선생과 성적의 관계3,,아사기리 조
20209983,20200609,2020,06,09,마더체인지,mother change,
20194301,20200611,2020,06,11,백년의 기억,"Korea, A Hundred Years of War",
20196711,20200611,2020,06,11,파리 오페라 발레단,Reset,티에리 데마이지에르
20200143,20200612,2020,06,12,시누이의 맛,,최정자
20201036,20200616,2020,06,16,바람의 검 - 적영자,,야마구치 요시타카
20209467,20200616,2020,06,16,전설의 파이터,,배효민
20183791,20200618,2020,06,18,바다로 가자,Forbidden Fatherland,김량
20195483,20200624,2020,06,24,에이브의 쿠킹 다이어리,Abe,
20200846,20200701,2020,07,01,부산행:익스텐디드,,연상호
20200083,20200701,2020,07,01,해피 디 데이,Dog Days,켄 마리노
20200802,20200701,2020,07,01,킬 스위치,Kill Switch,
20200912,20200701,2020,07,01,포스 오브 네이쳐,Force of Nature,마이클 폴리쉬
20208617,20200701,2020,07,01,인베이젼 2020,Invasion,표도르 본다르추크
20196201,20200701,2020,07,01,소리꾼,The Singer,조정래
20200761,20200702,2020,07,02,스텝업6: 이어 오브 더 댄스,Step up 6: year of the dance,
20201385,20200709,2020,07,09,모탈: 레전드 오브 토르,MORTAL,안드레 외브레달
20209685,20200709,2020,07,09,딥워터,Breaking Surface,요아힘 헤덴
20193450,20200715,2020,07,15,반도,Peninsula,연상호
20208002,20200716,2020,07,16,양과 늑대의 사랑과 살인,My Girlfriend is a Serial Killer,아사쿠라 카요코
20201962,20200716,2020,07,16,래미의 드래곤월드 구출작전,Adventures on the Dragon's Trail,웨이밍 황
20209882,20200722,2020,07,22,블루 아워,Blue hour,하코타 유코
20200749,20200723,2020,07,23,파리의 인어,Une sirene a Paris,마티아스 마르지유
20192522,20200723,2020,07,23,슈퍼 레이스,RACETIME,
20190735,20200723,2020,07,23,마티아스와 막심,Matthias & Maxime,자비에 돌란
20209741,20200729,2020,07,29,모든 것을 벗어던진 특별한 여행,The naked wanderer,
20200491,20200729,2020,07,29,빅샤크3: 젤리몬스터 대소동,Happy Little Submarine: Space Pals,신우
